referencia_catastral,calle,numero,codigo_postal,lat,lon,superficie_construida_m2,anyo_construccion,viviendas
4441101QA4444A,BARBATE,21,11012,36.510297,-6.272507,26739,1969,381
3838503QA4433H,MARITIMO,2,11010,36.506917,-6.27901,36682,1980,239
4427901QA4442E,MARITIMO,29,,36.496883,-6.272166,21728,1977,210
4426304QA4442E,MARITIMO,30,,36.49642,-6.271521,22080,1976,189
3838501QA4433H,GENERAL MUÑOZ ARENILLAS,4,11009,36.507204,-6.27821,28900,1985,182
4343201QA4444C,BARBATE,60,11012,36.511709,-6.272949,12484,1991,167
4726201QA4442F,ADELFAS,1,11011,36.496458,-6.269456,11847,1993,165
3456703QA4435E,TOLOSA LATOUR,19,11007,36.52161,-6.281744,11794,1977,163
3938310QA4433H,CAYETANO DEL TORO,7,11010,36.5072,-6.277306,18286,1985,154
1467506QA4416G,BENITO PEREZ GALDOS,84,11002,36.533887,-6.304109,16597,1983,153
4231902QA4443A,PERIODISTA BEATRIZ CIENFU,2,11011,36.500802,-6.273971,11076,1971,141
3944201QA4434D,ALEGRIA DE LA,1,11009,36.512678,-6.277527,7876,1993,125
3748901QA4434H,COLARTE,1,11008,36.515896,-6.27952,9365,1958,121
3754201QA4435D,PINTOR VINIEGRA,4,11007,36.521014,-6.278385,6082,1948,113
4340401QA4444A,LACAVE,8,11012,36.508913,-6.272307,7494,1957,112
3157110QA4435E,ACACIAS,15,11007,36.524272,-6.285957,15030,1973,105
3950202QA4435B,GUADALQUIVIR,21,11012,36.518922,-6.277163,9137,1971,102
3254203QA4435C,GRANJA SAN ILDEFONSO,5,11007,36.522153,-6.284453,10171,1975,98
3851704QA4435B,COOPERATIVA,9,11007,36.518701,-6.278686,8525,1972,97
3655301QA4435F,DE LA GUARDIA CIVIL,1,11011,36.522993,-6.280573,14891,2009,97
3548511QA4434H,PARLAMENTO,3,11008,36.515598,-6.2816,12169,1975,95
2957205QA4425F,SANTA MARIA DEL MAR,3,11006,36.524386,-6.288193,12244,1958,90
3253307QA4435C,SANTA MARIA DE LA CABEZA,11,11007,36.520727,-6.283849,7367,1982,80
3943601QA4434D,GARCIA CARRERA,14,11009,36.511329,-6.277269,4914,1939,78
1565915QA4416F,DIEGO ARIAS,11,11002,36.531885,-6.303221,7265,1972,77
3254201QA4435C,ECUADOR,2,,36.522165,-6.285055,9214,1973,76
3742401QA4434D,ANA DE VIYA,13,11008,36.510686,-6.279259,13602,1978,73
3742801QA4434B,ANA DE VIYA,30,11009,36.511039,-6.280018,8636,1960,69
4147301QA4444G,BARBATE,66,11012,36.515146,-6.274483,6431,1988,67
4232301QA4443C,MADRID,3,11010,36.501981,-6.273975,5853,1959,67
4248308QA4444G,GUADALQUIVIR,20,11012,36.515956,-6.273595,2801,1988,61
4248306QA4444G,GUADALQUIVIR,22,11012,36.516411,-6.273838,4568,1988,61
4248304QA4444G,GUADALQUIVIR,24,11012,36.516757,-6.273995,4568,1988,61
4248301QA4444G,GUADALQUIVIR,26,11012,36.517105,-6.274152,4568,1988,61
4150405QA4445A,GUADALQUIVIR,28,11012,36.517452,-6.274309,4568,1988,61
4344101QA4444C,BARBATE,62,11012,36.512785,-6.273432,5361,1990,60
3553501QA4435D,FEDERICO GARCIA LORCA,7,11008,36.52019,-6.281354,4232,1962,56
3352503QA4435C,CIUDAD DE SANTANDER,6,11007,36.519733,-6.283332,6749,1974,49
4427902QA4442E,PERIODISTA BEATRIZ CIENFU,20,11011,36.497116,-6.272015,5457,1977,48
3159509QA4435G,BAHIA BLANCA,11,11007,36.525377,-6.284445,8497,1976,47
3550824QA4435B,HUERTA DEL OBISPO,15,11008,36.516745,-6.280222,7297,1981,45
4037203QA4443E,ALONSO CANO,5,11010,36.506339,-6.27597,4423,1982,43
4242602QA4444A,ALCALDE BLAZQUEZ,11,11012,36.510173,-6.273686,4223,1993,41
3346401QA4434E,BLANCO DEL,2,11008,36.514807,-6.28386,4230,1993,41
3647303QA4434H,PARLAMENTO,14,11008,36.515943,-6.280484,7626,1982,41
4037506QA4443G,PINTOR ZULOAGA,22,11010,36.505613,-6.275494,7489,1981,41
1467503QA4416G,JOSE PAREDES MONGE,2,11002,36.533548,-6.304934,3387,1980,40
3257202QA4435E,HIBISCOS,6,11007,36.524763,-6.284928,5471,1967,37
3055903QA4435E,ALCALDE MANUEL D LA PINTA,3,11006,36.523084,-6.287555,5793,1958,36
4440601QA4444A,SOR CRISTINA LOPEZ GARCIA,7,11011,36.508507,-6.272118,2176,1957,36
4341301QA4444A,OLVERA,7,,36.509862,-6.273071,2482,1993,35
4341201QA4444A,OLVERA,8,,36.509396,-6.272629,2366,1993,35
2561903QA4426B,SANTA MARIA,11,11005,36.52816,-6.292442,2721,2012,35
3950203QA4435B,PERU DEL,6,11007,36.518726,-6.277085,2839,1971,31
4037504QA4443G,PINTOR ZULOAGA,18,11010,36.506024,-6.275714,1786,1983,31
3747508QA4434H,PORTUGAL,43,11008,36.514451,-6.278807,4299,1982,31
1664607QA4416D,PASTORA,13,11002,36.530618,-6.3022,1931,2005,30
3851710QA4435B,SANIDAD PUBLICA,13,,36.518403,-6.2788,2785,1988,29
